x,y
2525.1783346502466,-31556.330170019308
22853.526900758057,-31711.497534112044
35819.11346174602,-30128.2356463046
2485.3993420479223,8636.584466482987
13735.880648949484,25308.26078992572
-3181.961980348813,45387.48068225104
1719.5643520878657,-18.982163290859333
31008.40630665227,1847.296062061532
-5564.736089431177,38306.42135966906
-35594.16583136514,-46535.34375211024
32382.219668552392,-26278.007229182564
-48500.31141778346,-3681.1850064985665
43690.541861723206,46875.97769458602
44470.53587213854,-49101.91370184922
39021.70389010318,6980.786041710463
39630.67839929322,1646.2039601121025
34185.337506583746,-35337.61413318956
30376.191066331558,33685.60929476916
-29265.893727242175,-27765.9749806493
23878.9930980871,-19362.60760189432
-31962.160607678557,16150.88992288023
4767.998536219143,-23207.955717672136
-44933.74139477333,-29786.271060586223
-46852.07876681659,9781.489285032618
17605.048869428996,34180.75117021273
-3182.3922492413726,19836.031486987384
676.7292400288839,-15100.781247090534
16540.252756713668,-35077.56653016143
9625.250162368993,-43797.74563327718
40385.32855580721,-9277.241123234558
1870.5981990044363,-7899.574453677927
-37748.68557037163,-47368.4095652503
-26299.598760521036,-3442.058501624934
33242.58657122914,-4801.246234865708
-26173.43576971731,-46180.77145436945
-17762.798275405657,-49271.39387761841
591.6697689926754,-46834.62292984699
-45837.215151482844,49736.21160344384
-26417.879313158533,-18564.863426675693
-1911.565200873011,-30266.47161665508
-29907.60998329003,4393.490192344208
34807.61236707439,14973.727675145177
17749.335077155014,28775.51666409288
39065.255092408144,-28183.878993739952
33010.21556914334,-40875.121395643
-15322.835420194946,-5383.6122392824755
-47005.466519758724,-12859.13042346476
2124.7466912776013,-19137.16026993739
-5136.733532990623,-31950.255771570668
-23837.585663647464,28544.243645910217
33505.25132478099,12192.405748333313
-10277.822976253237,-9901.725056049914
-16556.918373049644,-14037.132911654315
28466.35620388733,-12205.517714891068
-33419.78215608681,-47168.445993146604
-463.2134771522356,31367.570255516086
-33258.54687476953,14529.624320177547
9187.471590564899,-17812.328868526285
33110.12854288822,39477.18758095977
-2974.0676151931657,-26373.673259847474
-33260.415966247536,40618.546006187775
-3991.639637824207,38646.8539936742
