x,y
1129.5092698698995,114.21387791226145
613.4315384718425,107.94877353919041
605.7536810217812,324.90676859648903
638.5912279138761,518.2013339624092
733.5378571790674,852.8930328504769
709.1994069717389,866.53862656767
774.8057080122717,718.9428599438496
1152.638950217577,1041.429669933347
1131.1952743370045,1190.128974146787
1060.773982572738,2047.6139506714342
1018.8514805751004,1761.2461180111839
978.6602218531559,1595.702636512475
901.7638967115494,1355.6962354986047
943.46681203199,1252.0203858163547
785.4294125076322,1269.9529125894448
829.8845398121202,1442.5042777433284
606.4070197502325,1936.4289033146242
978.2589347538062,2719.06847114316
26481.950106200202,466.68551165343075
26135.474116450718,457.12977626104487
26351.97637122293,487.5994851058163
22452.939385461268,443.27864050595076
24526.285741520227,432.98015413835157
23154.339224781783,396.9727266631029
23436.207614110983,345.9068621254779
22447.914495837118,338.2212715206778
21523.385358031577,365.3310163843404
22704.01579398935,303.3591641891986
23615.77860207751,313.0049418968328
24258.855156004945,310.15745865292655
25788.12386852367,298.79218067434545
25287.80200459242,320.7989310292314
25856.588788178025,334.1085866248594
26259.401508699764,344.0556940255801
26882.850937850035,381.1338956541732
24836.930740921725,248.12628631927237
26247.486690471167,236.5625329537213
22976.841346463672,168.80590271095565
22021.54150585742,228.39413943103182
21044.576616045484,486.5407644651709
16675.024567390406,491.4488975504616
18144.665995250307,477.2727128256271
16596.497100639528,468.515421207516
16653.544601192814,454.9468870628015
20055.753276429055,476.48912873581304
20355.86105931939,466.24048404417806
19669.77386931956,433.0026814576504
20033.33950291277,419.8372337456124
18925.414723285237,374.59338051804014
19289.56428019564,378.2882903192286
16628.467516162826,303.22914417977296
16625.10500577734,131.3401099112488
18195.667471773526,154.94691116810787
18512.210022761734,169.62180433282015
20647.65714000716,204.35814706885049
20043.60476904985,251.26312137506713
17622.093792033167,255.90894479581294
16284.51629502543,185.7386132957384
15346.066094170552,130.4228785628414
15914.33527753736,324.58006273772264
15949.74227864927,476.9157968514515
10100.942565075966,21601.971034255675
10219.229011884989,21206.230672707505
9789.726932343036,21338.854195376756
9502.216662786144,21469.565303325955
9340.871641783633,21306.233012017306
9481.979574575416,21625.784388568016
9475.65733154434,21689.84664460154
9602.653298536845,21707.25238175546
9669.569448783766,22235.56853328974
9365.460792303758,22047.916919880194
9283.626253125776,22425.723872562474
9304.093038118877,22448.843062153646
9153.870434343147,22105.53766072083
9049.545990279052,22137.17225135643
8990.521703010423,22512.98542307918
8765.610849878636,22475.93317708836
9085.289257234974,21459.801859069037
8314.977835762627,21447.17268869585
8212.301278900159,21860.11524638243
