x,y
-31430.68142178895,16361.66635111198
-45288.41816882967,-11791.925729985885
-27977.68287802849,45958.61725772094
-19621.941976418977,-17516.9089428564
19542.480714724174,13371.454181515774
8333.850829836842,844.1058501299725
-5523.08143106075,8642.49263380219
31502.931929475442,-7239.399976258532
4294.837305668553,42405.64395784887
-3927.9519053564195,-15357.238393024963
48630.348224472764,16907.327921098524
27327.872793319384,-27698.635524160985
-23151.362453294143,-31950.84027709485
34122.15173579121,8679.258828411874
-13642.046616099557,24008.446169457275
-49690.24234615382,24520.151564296477
-35233.267019385916,-42542.2853855536
14116.861555119553,13381.45327064255
-31415.951116661865,-48402.04729032271
9709.977913307677,-41209.772719688284
-39919.3793604181,-40632.75859656166
28253.024069591713,26105.32121323281
20601.166102616797,46921.76403115702
-36574.69942499161,-39620.5653263273
34546.743941011046,47851.220608900236
-12068.710890673407,18294.214800997823
43301.677348478894,40767.93227940687
-21713.82505966246,48713.075287862615
25902.747101701396,-39973.533611466606
9213.668148300158,23420.6905815197
-5772.042612663752,48784.05833000485
-45018.10400482462,-42543.240043541155
-9451.841569957043,-11816.264314189362
28569.935156881977,-16999.903818143426
-31280.217816734534,5374.860565583895
12404.96971620837,-45371.62204802925
37307.36834677595,-20418.393156487502
44569.35526385713,-16888.137570232066
12411.64004676789,-46037.46400488004
-7740.465391758722,4387.864927252783
-24014.468486047823,46615.22718455222
19153.81930418236,42177.59122613238
-31109.03908337599,-37897.7282447952
25273.11275256814,-3408.8838961320757
3414.3182671976024,-38324.397389226906
5385.132214388011,-8611.360911811138
-10256.708454629581,29538.17233499052
-36331.59259605834,44886.22107079952
-9987.187011209042,-30723.025934181125
40150.58306483621,-8410.766454367447
-8284.297747713976,-30257.825653230542
1568.7372855470283,29832.33697967611
-43873.14444713821,8029.818667773059
-44884.203693094896,-10420.278375967817
-7246.220005887105,-5700.9482833741295
14032.440661793698,-37356.70132976707
8884.659441982823,-36378.27862983944
37605.270886706065,1403.9391651926137
16230.539513944776,43165.24990551203
-45347.525451681395,43980.367938337906
43071.59851729436,29680.030732378436
8120.724810837343,-2082.582885310047
41096.606697873074,12390.32182414399
-22341.59836682492,43852.47357370004
8380.8288960729,-12715.20573848215
-43214.58026715339,33045.83891568811
-32752.4091013913,-14190.499673453294
-4040.7256685135453,-43696.35393050588
41797.39545738388,30869.74637546953
2170.170908240099,-37697.14570539908
30484.42598154262,32311.671539306764
-4013.2411111955644,41204.67851951406
-6798.575317673916,14674.131696623615
